#x y_true y_numerov
4.9793 4.11504e-05 4.11504e-05 
4.9792 4.117e-05 4.117e-05 
4.9791 4.11897e-05 4.11897e-05 
4.979 4.12094e-05 4.12094e-05 
4.9789 4.12291e-05 4.12291e-05 
4.9788 4.12488e-05 4.12488e-05 
4.9787 4.12685e-05 4.12685e-05 
4.9786 4.12882e-05 4.12882e-05 
4.9785 4.1308e-05 4.1308e-05 
4.9784 4.13277e-05 4.13277e-05 
4.9783 4.13475e-05 4.13475e-05 
4.9782 4.13672e-05 4.13672e-05 
4.9781 4.1387e-05 4.1387e-05 
4.978 4.14068e-05 4.14068e-05 
4.9779 4.14265e-05 4.14265e-05 
4.9778 4.14463e-05 4.14463e-05 
4.9777 4.14661e-05 4.14661e-05 
4.9776 4.14859e-05 4.14859e-05 
4.9775 4.15058e-05 4.15058e-05 
4.9774 4.15256e-05 4.15256e-05 
4.9773 4.15454e-05 4.15454e-05 
4.9772 4.15653e-05 4.15653e-05 
4.9771 4.15851e-05 4.15851e-05 
4.977 4.1605e-05 4.1605e-05 
4.9769 4.16249e-05 4.16249e-05 
4.9768 4.16448e-05 4.16448e-05 
4.9767 4.16647e-05 4.16647e-05 
4.9766 4.16846e-05 4.16846e-05 
4.9765 4.17045e-05 4.17045e-05 
4.9764 4.17244e-05 4.17244e-05 
4.9763 4.17443e-05 4.17443e-05 
4.9762 4.17643e-05 4.17643e-05 
4.9761 4.17842e-05 4.17842e-05 
4.976 4.18042e-05 4.18042e-05 
4.9759 4.18241e-05 4.18241e-05 
4.9758 4.18441e-05 4.18441e-05 
4.9757 4.18641e-05 4.18641e-05 
4.9756 4.18841e-05 4.18841e-05 
4.9755 4.19041e-05 4.19041e-05 
4.9754 4.19241e-05 4.19241e-05 
4.9753 4.19441e-05 4.19441e-05 
4.9752 4.19642e-05 4.19642e-05 
4.9751 4.19842e-05 4.19842e-05 
4.975 4.20042e-05 4.20042e-05 
4.9749 4.20243e-05 4.20243e-05 
4.9748 4.20444e-05 4.20444e-05 
4.9747 4.20644e-05 4.20644e-05 
4.9746 4.20845e-05 4.20845e-05 
4.9745 4.21046e-05 4.21046e-05 
4.9744 4.21247e-05 4.21247e-05 
4.9743 4.21448e-05 4.21448e-05 
4.9742 4.2165e-05 4.2165e-05 
4.9741 4.21851e-05 4.21851e-05 
4.974 4.22052e-05 4.22052e-05 
4.9739 4.22254e-05 4.22254e-05 
4.9738 4.22455e-05 4.22455e-05 
4.9737 4.22657e-05 4.22657e-05 
4.9736 4.22859e-05 4.22859e-05 
4.9735 4.23061e-05 4.23061e-05 
4.9734 4.23263e-05 4.23263e-05 
4.9733 4.23465e-05 4.23465e-05 
4.9732 4.23667e-05 4.23667e-05 
4.9731 4.23869e-05 4.23869e-05 
4.973 4.24071e-05 4.24071e-05 
4.9729 4.24274e-05 4.24274e-05 
4.9728 4.24476e-05 4.24476e-05 
4.9727 4.24679e-05 4.24679e-05 
4.9726 4.24881e-05 4.24881e-05 
4.9725 4.25084e-05 4.25084e-05 
4.9724 4.25287e-05 4.25287e-05 
4.9723 4.2549e-05 4.2549e-05 
4.9722 4.25693e-05 4.25693e-05 
4.9721 4.25896e-05 4.25896e-05 
4.972 4.261e-05 4.261e-05 
4.9719 4.26303e-05 4.26303e-05 
4.9718 4.26506e-05 4.26506e-05 
4.9717 4.2671e-05 4.2671e-05 
4.9716 4.26913e-05 4.26913e-05 
4.9715 4.27117e-05 4.27117e-05 
4.9714 4.27321e-05 4.27321e-05 
4.9713 4.27525e-05 4.27525e-05 
4.9712 4.27729e-05 4.27729e-05 
4.9711 4.27933e-05 4.27933e-05 
4.971 4.28137e-05 4.28137e-05 
4.9709 4.28341e-05 4.28341e-05 
4.9708 4.28546e-05 4.28546e-05 
4.9707 4.2875e-05 4.2875e-05 
4.9706 4.28955e-05 4.28955e-05 
4.9705 4.29159e-05 4.29159e-05 
4.9704 4.29364e-05 4.29364e-05 
4.9703 4.29569e-05 4.29569e-05 
4.9702 4.29774e-05 4.29774e-05 
4.9701 4.29979e-05 4.29979e-05 
4.97 4.30184e-05 4.30184e-05 
4.9699 4.30389e-05 4.30389e-05 
4.9698 4.30594e-05 4.30594e-05 
4.9697 4.308e-05 4.308e-05 
4.9696 4.31005e-05 4.31005e-05 
4.9695 4.31211e-05 4.31211e-05 
4.9694 4.31416e-05 4.31416e-05 
4.9693 4.31622e-05 4.31622e-05 
4.9692 4.31828e-05 4.31828e-05 
4.9691 4.32034e-05 4.32034e-05 
4.969 4.3224e-05 4.3224e-05 
4.9689 4.32446e-05 4.32446e-05 
4.9688 4.32652e-05 4.32652e-05 
4.9687 4.32859e-05 4.32859e-05 
4.9686 4.33065e-05 4.33065e-05 
4.9685 4.33272e-05 4.33272e-05 
4.9684 4.33478e-05 4.33478e-05 
4.9683 4.33685e-05 4.33685e-05 
4.9682 4.33892e-05 4.33892e-05 
4.9681 4.34099e-05 4.34099e-05 
4.968 4.34305e-05 4.34305e-05 
4.9679 4.34513e-05 4.34513e-05 
4.9678 4.3472e-05 4.3472e-05 
4.9677 4.34927e-05 4.34927e-05 
4.9676 4.35134e-05 4.35134e-05 
4.9675 4.35342e-05 4.35342e-05 
4.9674 4.35549e-05 4.35549e-05 
4.9673 4.35757e-05 4.35757e-05 
4.9672 4.35965e-05 4.35965e-05 
4.9671 4.36172e-05 4.36172e-05 
4.967 4.3638e-05 4.3638e-05 
4.9669 4.36588e-05 4.36588e-05 
4.9668 4.36797e-05 4.36797e-05 
4.9667 4.37005e-05 4.37005e-05 
4.9666 4.37213e-05 4.37213e-05 
4.9665 4.37421e-05 4.37421e-05 
4.9664 4.3763e-05 4.3763e-05 
4.9663 4.37838e-05 4.37838e-05 
4.9662 4.38047e-05 4.38047e-05 
4.9661 4.38256e-05 4.38256e-05 
4.966 4.38465e-05 4.38465e-05 
4.9659 4.38674e-05 4.38674e-05 
4.9658 4.38883e-05 4.38883e-05 
4.9657 4.39092e-05 4.39092e-05 
4.9656 4.39301e-05 4.39301e-05 
4.9655 4.39511e-05 4.39511e-05 
4.9654 4.3972e-05 4.3972e-05 
4.9653 4.3993e-05 4.3993e-05 
4.9652 4.40139e-05 4.40139e-05 
4.9651 4.40349e-05 4.40349e-05 
4.965 4.40559e-05 4.40559e-05 
4.9649 4.40769e-05 4.40769e-05 
4.9648 4.40979e-05 4.40979e-05 
4.9647 4.41189e-05 4.41189e-05 
4.9646 4.41399e-05 4.41399e-05 
4.9645 4.41609e-05 4.41609e-05 
4.9644 4.4182e-05 4.4182e-05 
4.9643 4.4203e-05 4.4203e-05 
4.9642 4.42241e-05 4.42241e-05 
4.9641 4.42451e-05 4.42451e-05 
4.964 4.42662e-05 4.42662e-05 
4.9639 4.42873e-05 4.42873e-05 
4.9638 4.43084e-05 4.43084e-05 
4.9637 4.43295e-05 4.43295e-05 
4.9636 4.43506e-05 4.43506e-05 
4.9635 4.43717e-05 4.43717e-05 
4.9634 4.43929e-05 4.43929e-05 
4.9633 4.4414e-05 4.4414e-05 
4.9632 4.44352e-05 4.44352e-05 
4.9631 4.44563e-05 4.44563e-05 
4.963 4.44775e-05 4.44775e-05 
