data  errp  errm 
X Y X Y X Y
621.8610083131132 348.7848600403778 621.9429227265091 357.57288897259997 621.5518230052807 338.070439983206
636.4766775131128 355.17929351818066 634.9507570125068 365.1439438632919 634.5514775047141 345.22856057055697
653.2936166014349 327.9066402999056 651.8638970799838 334.081358077688 651.5564365911603 320.3201093473744
683.9495752674821 341.6543645440203 684.0485599482485 347.55607861228305 683.779682025408 335.58421395841526
710.9725160131927 360.1041828709532 711.4539702556305 367.5505740419399 709.4104018558181 348.3200269214112
741.8610756500857 352.5758727206439 742.7066947131124 360.6825593573754 742.2785632593865 342.6080320124911
754.0678857494967 369.6427653017251 754.9188081748197 373.52672002965255 754.661631289447 362.34985427748967
767.3145085848456 358.29757986336705 766.7989509732691 363.5997649290528 764.8068580171578 353.1354275425082
777.3006385152715 351.084675073911 777.2193754533303 358.9373836033102 776.8527893451412 344.15228262433095
792.9388663503153 356.80131898061273 793.3812114441106 362.7030451817288 793.0589653095637 349.80047188230765
812.2989148511331 349.8398301386199 815.1658329345311 356.3637484464437 811.0846353057294 341.6906908304249
847.45467426086 337.69669049713514 848.852621225495 342.8299974882954 846.6251681650888 332.1862256233071
873.948996762997 333.57137977236493 873.2668830226008 340.79535796429303 871.9318130961975 329.05782432846956
918.0279185411437 329.4729015876025 915.9147049164297 338.7473775097594 915.3747321951477 321.3963155222039
946.6424472536474 322.81800581806954 944.1674943340169 329.34077157678973 949.1639670625576 317.6179982315847
950.141567147987 315.47622462532735 954.6246381142371 319.0988968937718 949.9323651266612 308.47292378503596
958.0792059491215 327.64105666904084 961.6876375351455 335.1401920082922 956.8603263289156 320.96575396684057
1011.8560659994733 309.0653612076712 1010.3271696957918 315.3225375732898 1012.1493376101129 302.3313206261499
1054.810246123382 294.72915793805646 1051.9273647737632 299.4735076142421 1053.8245604048223 287.13526710254604
1166.289890310081 273.12553168146115 1166.9592554182645 278.43283638329115 1163.820805616078 268.21683199583833
1192.4730437223661 269.06924110105507 1193.639829410465 275.1741682934204 1193.0924681264696 264.1478435996824
1198.2749607535852 259.41644767408746 1198.6088097986074 265.6908696897898 1189.868141844196 254.15882916786612
1279.3332274284032 251.74770598968527 1282.7489723896254 257.07103985115384 1277.8120829887266 247.06188862718085
1369.120826279672 238.7506917187246 1367.7810137966349 243.27302953346438 1365.689919615776 234.89431984711683
1381.202737072913 229.87096357713617 1381.304304532734 234.88395334916467 1371.213388479521 224.42667396132484
1499.1210822635942 210.7442823883359 1497.7889909676212 216.87477972065406 1500.3526772813686 206.24577499432408
1644.1000645075535 190.8639235828777 1634.7413565461745 195.159390312714 1645.1322876973027 186.89705951618208
1829.47048726248 173.55193298070273 1831.724187749126 177.66432303983416 1828.660180219945 169.3545527206335
1916.5284516286606 160.42977098124294 1917.4137566178101 164.06477456708754 1912.1317202775028 157.124422908738
2060.957000376742 155.15739274886928 2056.9262637317897 160.41871980379025 2060.257991395783 151.31393910591615
