#E sigma_tot
0.326041 34.5394
0.326656 34.5205
0.327271 34.5024
0.327886 34.4849
0.328502 34.4653
0.329117 34.4492
0.329732 34.4339
0.330347 34.4192
0.330963 34.4052
0.331578 34.3919
0.332193 34.3763
0.332808 34.3643
0.333424 34.3529
0.334039 34.3422
0.334654 34.3322
0.335269 34.3228
0.335885 34.3141
0.3365 34.3059
0.337115 34.2984
0.337731 34.2915
0.338346 34.2853
0.338961 34.2796
0.339576 34.2746
0.340192 34.2701
0.340807 34.2662
0.341422 34.263
0.342037 34.2603
0.342653 34.2581
0.343268 34.2566
0.343883 34.2556
0.344498 34.2552
0.345114 34.2554
0.345729 34.2561
0.346344 34.2573
0.346959 34.2591
0.347575 34.2615
0.34819 34.2644
0.348805 34.2678
0.34942 34.2745
0.350036 34.2789
0.350651 34.2839
0.351266 34.2894
0.351881 34.2954
0.352497 34.3019
0.353112 34.3115
0.353727 34.3189
0.354342 34.3269
0.354958 34.3353
0.355573 34.3467
0.356188 34.3561
0.356803 34.366
0.357419 34.3763
0.358034 34.3894
0.358649 34.4007
0.359264 34.4124
0.35988 34.4245
0.360495 34.4392
0.36111 34.4522
0.361725 34.4657
0.362341 34.4815
0.362956 34.4958
0.363571 34.5106
0.364186 34.5275
0.364802 34.543
0.365417 34.559
0.366032 34.5769
0.366647 34.5937
0.367263 34.6123
0.367878 34.6298
0.368493 34.6477
0.369108 34.6672
0.369724 34.6859
0.370339 34.706
0.370954 34.7254
0.371569 34.746
0.372185 34.7661
0.3728 34.7873
0.373415 34.8081
0.374031 34.8298
0.374646 34.8512
0.375261 34.8734
0.375876 34.8954
0.376492 34.9181
0.377107 34.9407
0.377722 34.9639
0.378337 34.9871
0.378953 35.0107
0.379568 35.0343
0.380183 35.0584
0.380798 35.0825
0.381414 35.1071
0.382029 35.1316
0.382644 35.1561
0.383259 35.1815
0.383875 35.2064
0.38449 35.2322
0.385105 35.2574
0.38572 35.2828
0.386336 35.3092
0.386951 35.3348
0.387566 35.3605
0.388181 35.3875
0.388797 35.4134
0.389412 35.4394
0.390027 35.4669
0.390642 35.4931
0.391258 35.5193
0.391873 35.5456
0.392488 35.5736
0.393103 35.6
0.393719 35.6264
0.394334 35.6529
0.394949 35.6813
0.395564 35.7079
0.39618 35.7344
0.396795 35.761
0.39741 35.7875
0.398025 35.8162
0.398641 35.8428
0.399256 35.8693
0.399871 35.8958
0.400486 35.9222
0.401102 35.9486
0.401717 35.9773
0.402332 36.0036
0.402947 36.0299
0.403563 36.056
0.404178 36.0821
0.404793 36.1081
0.405408 36.134
0.406024 36.1598
0.406639 36.188
0.407254 36.2135
0.407869 36.239
0.408485 36.2643
0.4091 36.2894
0.409715 36.3145
0.410331 36.3393
0.410946 36.364
0.411561 36.3885
0.412176 36.4129
0.412792 36.4371
0.413407 36.461
0.414022 36.4848
0.414637 36.5084
0.415253 36.5317
0.415868 36.5549
0.416483 36.5778
0.417098 36.6005
0.417714 36.6229
0.418329 36.6451
0.418944 36.667
0.419559 36.6887
0.420175 36.7101
0.42079 36.7312
0.421405 36.752
0.42202 36.7706
0.422636 36.7909
0.423251 36.8108
0.423866 36.8305
0.424481 36.8499
0.425097 36.8689
0.425712 36.8877
0.426327 36.906
0.426942 36.9225
0.427558 36.9403
0.428173 36.9577
0.428788 36.9747
0.429403 36.9914
0.430019 37.0078
0.430634 37.0237
0.431249 37.0381
0.431864 37.0534
0.43248 37.0683
0.433095 37.0828
0.43371 37.0969
0.434325 37.1097
0.434941 37.1231
0.435556 37.1361
0.436171 37.1487
0.436786 37.1601
0.437402 37.172
0.438017 37.1834
0.438632 37.1945
0.439247 37.2045
0.439863 37.2148
0.440478 37.2246
0.441093 37.2336
0.441708 37.2427
0.442324 37.2513
0.442939 37.2596
0.443554 37.2671
0.444169 37.2745
0.444785 37.2816
0.4454 37.288
0.446015 37.2942
0.446631 37.3001
0.447246 37.3053
0.447861 37.3104
0.448476 37.315
0.449092 37.3192
0.449707 37.323
0.450322 37.3264
0.450937 37.3295
0.451553 37.3322
0.452168 37.3344
0.452783 37.3364
0.453398 37.3379
0.454014 37.339
0.454629 37.3399
0.455244 37.3402
0.455859 37.3403
0.456475 37.3399
0.45709 37.3392
0.457705 37.3381
0.45832 37.3367
0.458936 37.3349
0.459551 37.3328
0.460166 37.3304
0.460781 37.3274
0.461397 37.3244
0.462012 37.3207
0.462627 37.317
0.463242 37.3126
0.463858 37.3083
0.464473 37.3032
0.465088 37.2983
0.465703 37.2925
0.466319 37.2865
0.466934 37.2806
0.467549 37.2739
0.468164 37.2674
0.46878 37.26
0.469395 37.253
0.47001 37.245
0.470625 37.2375
0.471241 37.2289
0.471856 37.22
0.472471 37.2117
0.473086 37.2022
0.473702 37.1935
0.474317 37.1834
0.474932 37.1731
0.475547 37.1636
0.476163 37.1528
0.476778 37.1429
0.477393 37.1315
0.478008 37.1199
0.478624 37.1094
0.479239 37.0972
0.479854 37.0849
0.480469 37.0738
0.481085 37.061
0.4817 37.0479
0.482315 37.0363
0.482931 37.0228
0.483546 37.0091
0.484161 36.997
0.484776 36.9829
0.485392 36.9686
0.486007 36.9561
0.486622 36.9415
0.487237 36.9266
0.487853 36.9115
0.488468 36.8985
0.489083 36.8831
0.489698 36.8676
0.490314 36.8519
0.490929 36.8384
0.491544 36.8224
0.492159 36.8063
0.492775 36.79
0.49339 36.7761
0.494005 36.7596
0.49462 36.743
0.495236 36.7262
0.495851 36.7119
0.496466 36.695
0.497081 36.6779
0.497697 36.6607
0.498312 36.6434
0.498927 36.6288
0.499542 36.6113
0.500158 36.5938
0.500773 36.5761
0.501388 36.5584
0.502003 36.5406
0.502619 36.5257
0.503234 36.5078
0.503849 36.4898
0.504464 36.4718
0.50508 36.4538
0.505695 36.4356
0.50631 36.4175
0.506925 36.3993
0.507541 36.384
0.508156 36.3657
0.508771 36.3474
0.509386 36.3291
0.510002 36.3107
0.510617 36.2923
0.511232 36.2739
0.511847 36.2555
0.512463 36.2371
0.513078 36.2187
0.513693 36.2032
0.514308 36.1847
0.514924 36.1663
0.515539 36.1478
0.516154 36.1294
0.516769 36.111
0.517385 36.0926
0.518 36.0741
0.518615 36.0557
0.519231 36.0374
0.519846 36.019
0.520461 36.0007
