#x y(l)
0.85325 0.00485881
0.853392 0.00486811
0.853534 0.0048774
0.853676 0.0048867
0.853818 0.004896
0.85396 0.00490531
0.854102 0.00491461
0.854244 0.00492391
0.854386 0.00493322
0.854528 0.00494253
0.85467 0.00495184
0.854812 0.00496115
0.854954 0.00497047
0.855096 0.00497978
0.855238 0.0049891
0.85538 0.00499842
0.855522 0.00500774
0.855664 0.00501706
0.855806 0.00502639
0.855948 0.00503571
0.85609 0.00504504
0.856232 0.00505437
0.856374 0.0050637
0.856516 0.00507303
0.856658 0.00508237
0.8568 0.00509171
0.856942 0.00510104
0.857084 0.00511038
0.857226 0.00511972
0.857368 0.00512907
0.85751 0.00513841
0.857652 0.00514776
0.857794 0.00515711
0.857936 0.00516646
0.858078 0.00517581
0.85822 0.00518516
0.858362 0.00519452
0.858504 0.00520387
0.858646 0.00521323
0.858788 0.00522259
0.85893 0.00523195
0.859072 0.00524132
0.859214 0.00525068
0.859356 0.00526005
0.859498 0.00526942
0.85964 0.00527879
0.859782 0.00528816
0.859924 0.00529753
0.860066 0.0053069
0.860208 0.00531628
0.86035 0.00532566
0.860492 0.00533504
0.860634 0.00534442
0.860776 0.0053538
0.860918 0.00536319
0.86106 0.00537258
0.861202 0.00538196
0.861344 0.00539135
0.861486 0.00540075
0.861628 0.00541014
0.86177 0.00541953
0.861912 0.00542893
0.862054 0.00543833
0.862196 0.00544773
0.862338 0.00545713
0.86248 0.00546653
0.862622 0.00547594
0.862764 0.00548535
0.862906 0.00549475
0.863048 0.00550416
0.86319 0.00551358
0.863332 0.00552299
0.863474 0.0055324
0.863616 0.00554182
0.863758 0.00555124
0.8639 0.00556066
0.864042 0.00557008
0.864184 0.0055795
0.864326 0.00558893
0.864468 0.00559835
0.86461 0.00560778
0.864752 0.00561721
0.864894 0.00562664
0.865036 0.00563607
0.865178 0.00564551
0.86532 0.00565494
0.865462 0.00566438
0.865604 0.00567382
0.865746 0.00568326
0.865888 0.0056927
0.86603 0.00570215
0.866172 0.00571159
0.866314 0.00572104
0.866456 0.00573049
0.866598 0.00573994
0.86674 0.00574939
0.866882 0.00575885
0.867024 0.0057683
0.867166 0.00577776
0.867308 0.00578722
0.86745 0.00579668
0.867592 0.00580614
0.867734 0.0058156
0.867876 0.00582507
0.868018 0.00583453
0.86816 0.005844
0.868302 0.00585347
0.868444 0.00586294
0.868586 0.00587242
0.868728 0.00588189
0.86887 0.00589137
0.869012 0.00590084
0.869154 0.00591032
0.869296 0.0059198
0.869438 0.00592929
0.86958 0.00593877
0.869722 0.00594826
0.869864 0.00595774
0.870006 0.00596723
0.870148 0.00597672
0.87029 0.00598621
0.870432 0.00599571
0.870574 0.0060052
0.870716 0.0060147
0.870858 0.0060242
0.871 0.0060337
0.871142 0.0060432
0.871284 0.0060527
0.871426 0.00606221
0.871568 0.00607171
0.87171 0.00608122
0.871852 0.00609073
0.871994 0.00610024
0.872136 0.00610975
0.872278 0.00611926
0.87242 0.00612878
0.872562 0.0061383
0.872704 0.00614782
0.872846 0.00615734
0.872988 0.00616686
0.87313 0.00617638
0.873272 0.0061859
0.873414 0.00619543
0.873556 0.00620496
0.873698 0.00621449
0.87384 0.00622402
0.873982 0.00623355
0.874124 0.00624308
0.874266 0.00625262
0.874408 0.00626216
0.87455 0.0062717
0.874692 0.00628124
0.874834 0.00629078
0.874976 0.00630032
0.875118 0.00630986
0.87526 0.00631941
0.875402 0.00632896
0.875544 0.00633851
0.875686 0.00634806
0.875828 0.00635761
0.87597 0.00636716
