#E y_xmax_even y_xmax_odd
3.16517 518.294 -118.881 
3.17292 517.085 -115.16 
3.18068 515.781 -111.489 
3.18844 514.387 -107.866 
3.1962 512.904 -104.292 
3.20395 511.334 -100.767 
3.21171 509.678 -97.2906 
3.21947 507.94 -93.8623 
3.22723 506.121 -90.482 
3.23498 504.222 -87.1495 
3.24274 502.246 -83.8645 
3.2505 500.195 -80.6268 
3.25826 498.071 -77.4362 
3.26602 495.875 -74.2923 
3.27377 493.609 -71.195 
3.28153 491.275 -68.144 
3.28929 488.875 -65.1389 
3.29705 486.41 -62.1796 
3.3048 483.883 -59.2657 
3.31256 481.295 -56.397 
3.32032 478.647 -53.5732 
3.32808 475.942 -50.7939 
3.33584 473.181 -48.059 
3.34359 470.366 -45.368 
3.35135 467.498 -42.7207 
3.35911 464.58 -40.1168 
3.36687 461.611 -37.5559 
3.37462 458.595 -35.0379 
3.38238 455.533 -32.5622 
3.39014 452.425 -30.1287 
3.3979 449.274 -27.737 
3.40566 446.082 -25.3868 
3.41341 442.849 -23.0777 
3.42117 439.576 -20.8095 
3.42893 436.267 -18.5818 
3.43669 432.921 -16.3942 
3.44444 429.54 -14.2465 
3.4522 426.126 -12.1383 
3.45996 422.68 -10.0693 
3.46772 419.203 -8.03907 
3.47548 415.697 -6.04736 
3.48323 412.162 -4.09379 
3.49099 408.601 -2.17804 
3.49875 405.014 -0.299756 
3.50651 401.402 1.54141 
3.51426 397.767 3.34579 
3.52202 394.111 5.11375 
3.52978 390.433 6.84561 
3.53754 386.735 8.54174 
3.5453 383.019 10.2025 
3.55305 379.286 11.8282 
3.56081 375.536 13.4192 
3.56857 371.771 14.9758 
3.57633 367.992 16.4985 
3.58408 364.199 17.9875 
3.59184 360.394 19.4432 
3.5996 356.579 20.8659 
3.60736 352.753 22.2561 
3.61512 348.918 23.614 
3.62287 345.075 24.9399 
3.63063 341.224 26.2344 
3.63839 337.368 27.4976 
3.64615 333.506 28.7299 
3.6539 329.639 29.9317 
3.66166 325.769 31.1034 
3.66942 321.896 32.2452 
3.67718 318.022 33.3576 
3.68493 314.146 34.4408 
3.69269 310.27 35.4952 
3.70045 306.395 36.5211 
3.70821 302.521 37.519 
3.71597 298.649 38.4891 
3.72372 294.78 39.4317 
3.73148 290.915 40.3472 
3.73924 287.054 41.236 
3.747 283.199 42.0984 
3.75475 279.349 42.9346 
3.76251 275.506 43.7451 
3.77027 271.67 44.5302 
3.77803 267.841 45.2902 
3.78579 264.022 46.0254 
3.79354 260.211 46.7362 
3.8013 256.41 47.4229 
3.80906 252.62 48.0857 
3.81682 248.84 48.7252 
3.82457 245.072 49.3414 
3.83233 241.317 49.9349 
3.84009 237.573 50.5058 
3.84785 233.844 51.0546 
3.85561 230.127 51.5815 
3.86336 226.425 52.0868 
3.87112 222.738 52.5709 
3.87888 219.066 53.034 
3.88664 215.41 53.4765 
3.89439 211.77 53.8987 
3.90215 208.147 54.3008 
3.90991 204.54 54.6832 
3.91767 200.952 55.0462 
3.92543 197.381 55.3901 
3.93318 193.829 55.7152 
3.94094 190.295 56.0217 
3.9487 186.781 56.31 
3.95646 183.286 56.5803 
3.96421 179.811 56.8329 
3.97197 176.357 57.0682 
3.97973 172.923 57.2864 
3.98749 169.51 57.4878 
3.99525 166.118 57.6726 
4.003 162.748 57.8412 
4.01076 159.4 57.9938 
4.01852 156.074 58.1307 
4.02628 152.77 58.2522 
4.03403 149.49 58.3585 
4.04179 146.232 58.4499 
4.04955 142.998 58.5267 
4.05731 139.787 58.5891 
4.06507 136.6 58.6374 
4.07282 133.438 58.6718 
4.08058 130.299 58.6927 
4.08834 127.185 58.7002 
4.0961 124.096 58.6946 
4.10385 121.031 58.6761 
4.11161 117.992 58.6451 
4.11937 114.978 58.6017 
4.12713 111.989 58.5462 
4.13488 109.026 58.4789 
4.14264 106.088 58.3999 
4.1504 103.177 58.3095 
4.15816 100.292 58.2079 
4.16592 97.4325 58.0954 
4.17367 94.5996 57.9723 
4.18143 91.7932 57.8386 
